Entity,Code,Year,Annual CO₂ emissions
North America,,2018,6597806000
North America,,2019,6493359000
North America,,2020,5826628600
North America,,2021,6192752600
North America,,2022,6267443000
North America,,2023,6123549700
Oceania,,1965,129477440
Oceania,,1966,132279140
Oceania,,1967,138611220
Oceania,,1968,145432300
Oceania,,1969,153718830
Oceania,,1970,166214060
Oceania,,1971,170642140
Oceania,,1972,174019410
Oceania,,1973,193619740
Oceania,,1974,190731230
Oceania,,1975,196819650
Oceania,,1976,194205660
Oceania,,1977,207571890
Oceania,,1978,213846820
Oceania,,1979,213960100
Oceania,,1980,227388100
Oceania,,1981,235791570
Oceania,,1982,241295580
Oceania,,1983,230603340
Oceania,,1984,241779620
Oceania,,1985,251881950
Oceania,,1986,252363400
Oceania,,1987,264348260
Oceania,,1988,271776800
Oceania,,1989,287940100
Oceania,,1990,309497760
Oceania,,1991,311622940
Oceania,,1992,318661220
Oceania,,1993,322915330
Oceania,,1994,328044930
Oceania,,1995,339531300
Oceania,,1996,348034700
Oceania,,1997,358496830
Oceania,,1998,371793120
Oceania,,1999,382561340
Oceania,,2000,390079870
Oceania,,2001,400357540
Oceania,,2002,405958000
Oceania,,2003,415715000
Oceania,,2004,429568640
Oceania,,2005,434553100
Oceania,,2006,440741250
Oceania,,2007,448667040
Oceania,,2008,453681630
Oceania,,2009,452965020
Oceania,,2010,451682000
Oceania,,2011,450399680
Oceania,,2012,453473280
Oceania,,2013,446240540
Oceania,,2014,442859330
Oceania,,2015,452078900
Oceania,,2016,460608160
Oceania,,2017,465369760
Oceania,,2018,468624000
Oceania,,2019,470051360
Oceania,,2020,449667040
Oceania,,2021,439661570
Oceania,,2022,433028500
Oceania,,2023,430302660
South America,,1965,240092670
South America,,1966,251989390
South America,,1967,267328100
South America,,1968,287605000
South America,,1969,311235260
South America,,1970,337826140
South America,,1971,346539170
South America,,1972,362556700
South America,,1973,392667400
South America,,1974,416530270
South America,,1975,411657630
South America,,1976,419328960
South America,,1977,434808350
South America,,1978,462110140
South America,,1979,494336160
South America,,1980,508353860
South America,,1981,489719070
South America,,1982,490869630
South America,,1983,485836380
South America,,1984,491463070
South America,,1985,501802700
South America,,1986,529758620
South America,,1987,557251900
South America,,1988,580266800
South America,,1989,579758200
South America,,1990,598211000
South America,,1991,605972700
South America,,1992,618012400
South America,,1993,652645700
South America,,1994,655496600
South America,,1995,689449860
South America,,1996,719744800
South America,,1997,766816900
South America,,1998,791003650
South America,,1999,812984400
South America,,2000,812433540
South America,,2001,792002600
South America,,2002,819945500
South America,,2003,820535700
South America,,2004,856858900
South America,,2005,881497200
South America,,2006,909106400
South America,,2007,943890700
South America,,2008,987698940
South America,,2009,961250200
South America,,2010,1072222700
South America,,2011,1089016300
South America,,2012,1143936600
South America,,2013,1208385700
South America,,2014,1224245800
South America,,2015,1195139100
South America,,2016,1146173800
South America,,2017,1130036400
South America,,2018,1077709600
South America,,2019,1084625800
South America,,2020,979441100
South America,,2021,1079731200
South America,,2022,1096152800
South America,,2023,1108965000
